Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
0.109215,1.000000,0.196923,0.890785,0.000000,0.109215,0.000000,293.000000,93
