Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.250000,0.250000,0.250000,0.020270,0.020270,0.006757,0.952703,148.000000,172
NaN,0.000000,NaN,0.000000,0.020270,0.000000,0.979730,148.000000,172
NaN,0.000000,NaN,0.000000,0.027027,0.000000,0.972973,148.000000,172
0.000000,0.000000,NaN,0.013514,0.006757,0.000000,0.979730,148.000000,172
NaN,0.000000,NaN,0.000000,0.020270,0.000000,0.979730,148.000000,172
NaN,0.000000,NaN,0.000000,0.020270,0.000000,0.979730,148.000000,172
NaN,0.000000,NaN,0.000000,0.020270,0.000000,0.979730,148.000000,172
NaN,0.000000,NaN,0.000000,0.020270,0.000000,0.979730,148.000000,172
0.000000,0.000000,NaN,0.094595,0.033784,0.000000,0.871622,148.000000,172
NaN,0.000000,NaN,0.000000,0.006757,0.000000,0.993243,148.000000,172
NaN,0.000000,NaN,0.000000,0.047297,0.000000,0.952703,148.000000,172
NaN,0.000000,NaN,0.000000,0.027027,0.000000,0.972973,148.000000,172
NaN,0.000000,NaN,0.000000,0.020270,0.000000,0.979730,148.000000,172
0.500000,0.200000,0.285714,0.006757,0.027027,0.006757,0.959459,148.000000,172
NaN,0.000000,NaN,0.000000,0.006757,0.000000,0.993243,148.000000,172
NaN,0.000000,NaN,0.000000,0.027027,0.000000,0.972973,148.000000,172
NaN,0.000000,NaN,0.000000,0.013514,0.000000,0.986486,148.000000,172
NaN,0.000000,NaN,0.000000,0.020270,0.000000,0.979730,148.000000,172
NaN,0.000000,NaN,0.000000,0.040541,0.000000,0.959459,148.000000,172
NaN,0.000000,NaN,0.000000,0.040541,0.000000,0.959459,148.000000,172
